"ID";"Project title";"Collection_name";"Original Country/Region";"Original City/Town/Village";"Station Name";"Platform";"Altitude_masl";"Original Latitude Units";"Original Longitude Units";"Original Altitude Units";"Local Gravity";"Last modified";"Original Location/Relocation";"Start Station Year/Month/Day";"End Station Year/Month/Day";"Start Record Year/Month/Day";"End Record Year/Month/Day";"WMO Region";"Latitude_DegN";"Longitude_DegE";"Current Station Name";"WMO ID";"Network1_name";"Network1_ID";"Network2_name";"Network2_ID";"Country/Region";"City/Town/Village";"Time_resolution";"Observation times";"Time Reference Meridian, or other";"Estimated Station Days";"Time Gaps";"Variable name";"Units";"Original Units";"Variable Instrument";"Corrections/Conversions";"Observation Changes";"Type of Access";"Data Owner";"Data Owner Link/Contact";"Source";"Type of Initial source";"Source Link (Images)";"Data Provider";"Data Provider (Link/contact)";"Data series in published databank citation";"State of Data Rescue";"Comments";"Project Status"
"1084945";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"B. Parada";"";"";"";"";"";"";"2019-01-28 23:41:54.619877+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-34.542999";"-58.486801";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1084957";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"BUENOS AIRES-Azul";"";"";"";"";"";"";"2019-01-28 23:41:54.673640+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-36.775002";"-59.854";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1084969";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"BUENOS AIRES-Junin";"";"";"";"";"";"";"2019-01-28 23:41:54.729742+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-34.588501";"-60.9496";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1084981";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Burruyacu";"";"";"";"";"";"";"2019-01-28 23:41:54.787269+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-26.5";"-64.75";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1084993";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Cabo Alarcon";"";"";"";"";"";"";"2019-01-28 23:41:54.839060+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-39.5";"-69.099998";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1085005";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Cabo Blanco";"";"";"";"";"";"";"2019-01-28 23:41:54.895170+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-47.202";"-65.733299";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1085017";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Cabo Raso";"";"";"";"";"";"";"2019-01-28 23:41:54.948354+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-44.3372";"-65.249199";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1085029";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Caleta Olivia";"";"";"";"";"";"";"2019-01-28 23:41:55.005678+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-46.4426";"-67.517197";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1085041";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Camarones";"";"";"";"";"";"";"2019-01-28 23:41:55.053376+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-44.79332";"-65.710808";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1085053";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Cañada Verde";"";"";"";"";"";"";"2019-01-28 23:41:55.108683+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-34.8363";"-64.583298";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1085065";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"CAPITAL FEDERAL";"";"";"";"";"";"";"2019-01-28 23:41:55.162976+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-34.609032";"-58.373219";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1085077";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Carcarañá";"";"";"";"";"";"";"2019-01-28 23:41:55.222348+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-32.857441";"-61.15189";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1085089";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"CATAMARCA-Capital";"";"";"";"";"";"";"2019-01-28 23:41:55.279006+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-28.466667";"-65.783333";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1085101";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Ceres";"";"";"";"";"";"";"2019-01-28 23:41:55.336312+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-29.881701";"-61.946098";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1085113";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"CHACO - La Sábana";"";"";"";"";"";"";"2019-01-28 23:41:55.392755+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-27.451389";"-58.986668";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
